,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate,ISO3,Cases_28_Days,Deaths_28_Days
56,Cuba,1090285,8510,,,9625.867072742643,0.7805298614582425,CUB,18722,14
57,Tunisia,1035884,28323,,,8764.848817349033,2.7341864533094435,TUN,36443,499
58,Lithuania,1024839,8876,,,37646.19579611438,0.8660872585840312,LTU,108738,448
59,Nepal,978426,11951,,,3358.0411416377533,1.2214515967482469,NPL,1203,10
60,Slovenia,968109,6487,,,46567.612601085566,0.6700691760948405,SVN,68255,155
61,Belarus,962707,6819,,,10188.107695780467,0.7083151987053175,BLR,37957,304
62,Mongolia,918867,2177,,,28028.83330710016,0.2369222096342561,MNG,9488,6
63,Bolivia,901943,21894,,,7726.726285011371,2.4274261233803025,BOL,8168,451
64,United Arab Emirates,891300,2302,,,9011.76898810968,0.2582744306069786,ARE,10017,1
65,Uruguay,887935,7159,,,25561.45028092305,0.8062527099393537,URY,40160,151
66,Finland,883676,3144,,,15948.76331912218,0.3557865099878236,FIN,215576,724
67,Ecuador,859890,35421,,,4873.814406344478,4.119247810766494,ECU,26599,172
68,Costa Rica,838537,8300,,,16460.899775701917,0.98981917315515,CRI,26788,241
69,Guatemala,827596,17300,,,4619.42399032082,2.090391930362157,GTM,43572,282
70,Latvia,798895,5616,,,42354.689476524785,0.70297097866428,LVA,123672,324
71,Azerbaijan,791932,9692,,,7810.615755226633,1.2238424511195405,AZE,4509,237
72,Panama,764536,8170,,,17719.05233375236,1.0686220138750824,PAN,8158,70
73,Saudi Arabia,750814,9045,,,2156.6521179620754,1.2046925070656649,SAU,4641,41
74,New Zealand,674698,314,,,13991.401908617854,0.046539340564222806,NZL,494907,243
75,Sri Lanka,661631,16477,,,3089.82055503018,2.490360941370643,LKA,13754,206
76,West Bank and Gaza,655750,5655,,,12854.274185833894,0.8623713305375524,PSE,7711,123
77,Paraguay,647950,18664,,,9084.434275074904,2.8804691720040125,PRY,5377,242
78,Kuwait,628978,2554,,,14728.22201662872,0.4060555377135607,KWT,7998,14
79,Burma,611587,19430,,,1124.0384405792825,3.176980544059962,MMR,19309,55
80,Dominican Republic,578020,4375,,,5328.402611232548,0.7568942251133178,DOM,2863,5
81,Estonia,556304,2459,,,41936.49790922091,0.4420245045874198,EST,50992,192
82,Bahrain,554469,1471,,,32585.48069650437,0.2652988715329441,BHR,34166,15
83,Venezuela,520373,5682,,,1829.9832715236487,1.0919090729150052,VEN,4791,43
84,Moldova,513442,11431,,,12727.979904624806,2.2263468902037618,MDA,10190,186
85,Egypt,505264,24417,,,493.7381615447544,4.832523195794674,EGY,18883,285
86,Libya,501705,6415,,,7301.470597866164,1.2786398381519022,LBY,5685,137
87,Ethiopia,469758,7497,,,408.6146132032088,1.595928116178969,ETH,918,25
88,Cyprus,430726,940,,,35674.996956171344,0.2182361872745086,CYP,99766,79
89,Armenia,422519,8613,,,14258.711934325807,2.038488209997657,ARM,2000,118
90,Honduras,421062,10880,,,4251.172787454082,2.583942507279213,HND,8280,102
91,Oman,388343,4250,,,7604.6944535937855,1.0943933584485879,OMN,4890,4
92,Bosnia and Herzegovina,375440,15713,,,11443.498033263077,4.1852226720647785,BIH,3779,226
93,Qatar,361415,677,,,12544.514866056245,0.18731928669258333,QAT,3700,7
94,Kenya,323423,5648,,,601.4788558208561,1.7463198350148257,KEN,400,8
95,Zambia,316850,3966,,,1723.5136985749966,1.2516963863026669,ZMB,3347,11
96,North Macedonia,305979,9221,,,14686.66301874838,3.013605508874792,MKD,7522,184
97,Botswana,305526,2686,,,12992.12246850582,0.8791395822286808,BWA,41576,67
98,Albania,273677,3492,,,9509.938147195777,1.2759566934744242,ALB,1783,18
99,Algeria,265671,6874,,,605.8487594012303,2.5874107448686536,DZA,583,31
100,Nigeria,255415,3142,,,123.90390594893353,1.2301548460348843,NGA,817,0
101,Zimbabwe,246286,5444,,,1657.0491128698943,2.210438270953282,ZWE,8679,44
102,Uzbekistan,237749,1637,,,710.3516280745171,0.6885412767246128,UZB,1114,0
103,Montenegro,233102,2702,,,37114.48869697578,1.1591492136489605,MNE,2498,20
104,Kosovo,227471,3134,,,12564.917812199299,1.3777580438825172,XKS,1047,16
